date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:11	53665/53665	------	200	untouched ('OK')	text/html	etag:W/%220ce84586c381e3185895b026bd6bf6f5--gzip%22	https://www.membersleadingmembers.com/alistair-rob-greenidge	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/alistair-rob-greenidge.html	(from https://www.membersleadingmembers.com/)
20:07:11	53381/53381	------	200	untouched ('OK')	text/html	etag:W/%22ce9964c3e83b7661d0e6a7a8ecf8cbc6--gzip%22	https://www.membersleadingmembers.com/teresa-jill-philips	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/teresa-jill-philips.html	(from https://www.membersleadingmembers.com/)
20:07:11	54800/54800	------	200	untouched ('OK')	text/html	etag:W/%22ff9c250df3b3c96d8fe62fdc5130fb6b--gzip%22	https://www.membersleadingmembers.com/martha-webb	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/martha-webb.html	(from https://www.membersleadingmembers.com/)
20:07:11	0/0	------	301	error ('Moved%20Permanently')	image/png	etag:W/%224e008878c3c28deb649cdb44d63e3f44%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4bdde8e4966bb308107267/1514921566909/pixel-FEE202.png	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4bdde8e4966bb308107267/1514921566909/pixel-FEE202.2b.delayed	(from https://www.membersleadingmembers.com/)
20:07:11	53704/53704	------	200	untouched ('OK')	text/html	etag:W/%22fa59b2b3b43aaaf160d3173f740f399b--gzip%22	https://www.membersleadingmembers.com/bogumila-roginska	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/bogumila-roginska.html	(from https://www.membersleadingmembers.com/)
20:07:11	53394/53394	------	200	untouched ('OK')	text/html	etag:W/%220ca7ba624a3d58bd4eeddfe6265f1f10--gzip%22	https://www.membersleadingmembers.com/alice-nowicki	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/alice-nowicki.html	(from https://www.membersleadingmembers.com/)
20:07:11	53696/53696	------	200	untouched ('OK')	text/html	etag:W/%223a5a3b2ce51170599375b373194c09a2%22	https://www.membersleadingmembers.com/denise-hunter	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/denise-hunter.html	(from https://www.membersleadingmembers.com/)
20:07:11	53794/53794	------	200	untouched ('OK')	text/html	etag:W/%22f6d373cace34600441876bc6b04531b1--gzip%22	https://www.membersleadingmembers.com/new-page	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/new-page.html	(from https://www.membersleadingmembers.com/)
20:07:11	0/0	------	301	error ('Moved%20Permanently')	image/png	etag:W/%22e020e196f33058dcc117aa1fc5e59ffd%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4c154271c10b82b8c50437/1514935626079/logo-4-middle.png	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4c154271c10b82b8c50437/1514935626079/logo-4-middle.2d.delayed	(from https://www.membersleadingmembers.com/)
20:07:11	53574/53574	------	200	untouched ('OK')	text/html	etag:W/%22b45bba4371dd822813b4f2202e5ce43b--gzip%22	https://www.membersleadingmembers.com/denise-daniels	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/denise-daniels.html	(from https://www.membersleadingmembers.com/)
20:07:11	54086/54086	------	200	untouched ('OK')	text/html	etag:W/%22eda207a3c41cc5c02bcdc1e56a96e70b%22	https://www.membersleadingmembers.com/gloria-alvarez-in-memoriam	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/gloria-alvarez-in-memoriam.html	(from https://www.membersleadingmembers.com/)
20:07:11	54170/54170	------	200	untouched ('OK')	text/html	etag:W/%22c26f04e40c1ee15aa5755c6950c12606--gzip%22	https://www.membersleadingmembers.com/james-gahagan	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/james-gahagan.html	(from https://www.membersleadingmembers.com/)
20:07:11	54017/54017	------	200	untouched ('OK')	text/html	etag:W/%22d52ec5ec8d22245a44f74e51d3842455%22	https://www.membersleadingmembers.com/merle-herren	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/merle-herren.html	(from https://www.membersleadingmembers.com/)
20:07:11	156/156	------	301	error ('Moved%20Permanently')	text/html	etag:W/%22a51b89c9ecfd15e83f9939e20939cc9c%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4bde4653450a16cf158659/1514921550739/logo-4-right.png	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5a4bde4653450a16cf158659/1514921550739/logo-4-right.2f.delayed	(from https://www.membersleadingmembers.com/)
20:07:11	53213/53213	------	200	untouched ('OK')	text/html	etag:W/%2236d298b0988d46dd4480f7be22c97310--gzip%22	https://www.membersleadingmembers.com/mike-stojak	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/mike-stojak.html	(from https://www.membersleadingmembers.com/)
20:07:11	53904/53904	------	200	untouched ('OK')	text/html	etag:W/%228fc4b15c182e4284a6c834d2c30664ac--gzip%22	https://www.membersleadingmembers.com/mike-wilkes	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/mike-wilkes.html	(from https://www.membersleadingmembers.com/)
20:07:11	53596/53596	------	200	untouched ('OK')	text/html	etag:W/%22ee7d1b9806a1bfcf11283891c4251368--gzip%22	https://www.membersleadingmembers.com/ron-dube	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/ron-dube.html	(from https://www.membersleadingmembers.com/)
20:07:11	53279/53279	------	200	untouched ('OK')	text/html	etag:W/%223a85ab2a5fed4f5b6c047d5a7fd015db--gzip%22	https://www.membersleadingmembers.com/justus-fortado	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/justus-fortado.html	(from https://www.membersleadingmembers.com/)
20:07:11	53457/53457	------	200	untouched ('OK')	text/html	etag:W/%225a48bd27ba380d2f49e921755b6980c2%22	https://www.membersleadingmembers.com/kevin-maley	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/kevin-maley.html	(from https://www.membersleadingmembers.com/)
20:07:11	53182/53182	------	200	untouched ('OK')	text/html	etag:W/%22052bc0dd76a2576ebc165305a8e8da06--gzip%22	https://www.membersleadingmembers.com/mark-yates	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/mark-yates.html	(from https://www.membersleadingmembers.com/)
20:07:11	53149/53149	------	200	untouched ('OK')	text/html	etag:W/%222428defa18242321243dda7114536878--gzip%22	https://www.membersleadingmembers.com/rick-pratl	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/rick-pratl.html	(from https://www.membersleadingmembers.com/)
20:07:11	53990/53990	------	200	untouched ('OK')	text/html	etag:W/%22deaf28c03ac625a0b55ba2be835a0048%22	https://www.membersleadingmembers.com/summer-alexander	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/summer-alexander.html	(from https://www.membersleadingmembers.com/)
20:07:11	0/0	------	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Sep%202021%2001:02:17%20GMT	https://images.squarespace-cdn.com/robots.txt		(from )
20:07:11	7013984/7013984	------	200	untouched ('')	application/pdf	etag:W/%224579e82df1a3de6f64f41c53b197e99e%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5bd7cda3eef1a1684f5209c4/1540869554227/Officer+Election+Appeal.pdf	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5bd7cda3eef1a1684f5209c4/1540869554227/Officer+Election+Appeal.pdf	(from https://www.membersleadingmembers.com/)
20:07:11	52630/52630	------	200	untouched ('OK')	text/html	etag:W/%22792bbbb71d14ffc21bdeab3fbe1a128f--gzip%22	https://www.membersleadingmembers.com/diane-palmers-record	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/diane-palmers-record.html	(from https://www.membersleadingmembers.com/)
20:07:11	58959/58959	------	200	untouched ('OK')	text/html	etag:W/%2237598e2cfcc68f4174b0302b42683abe--gzip%22	https://www.membersleadingmembers.com/what-went-wrong	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/what-went-wrong.html	(from https://www.membersleadingmembers.com/)
20:07:11	56056/56056	------	200	untouched ('OK')	text/html	etag:W/%22c43226a37604a403482bd9836ba56465--gzip%22	https://www.membersleadingmembers.com/unlawful-termination	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/unlawful-termination.html	(from https://www.membersleadingmembers.com/)
20:07:11	51985/51985	------	200	untouched ('OK')	text/html	etag:W/%229631b4b21b825c3a6eef418bfdf40d63--gzip%22	https://www.membersleadingmembers.com/members-lawsuit	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/members-lawsuit.html	(from https://www.membersleadingmembers.com/)
20:07:11	53714/53714	------	200	untouched ('OK')	text/html	etag:W/%225b8c047503e1048578fc292ac7bf24c2--gzip%22	https://www.membersleadingmembers.com/lester-coney	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/lester-coney.html	(from https://www.membersleadingmembers.com/)
20:07:11	55556/55556	------	200	untouched ('OK')	text/html	etag:W/%22c4b8da203263532e9c99e3d84432543a--gzip%22	https://www.membersleadingmembers.com/trustees-fire-staffers	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/trustees-fire-staffers.html	(from https://www.membersleadingmembers.com/)
20:07:11	79249/79249	------	200	untouched ('')	application/pdf	etag:W/%22a7451ebb48263b3a6e780d6acc2d51d7%22	https://static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5b83879f0e2e72fa78021938/1535346592096/L73-Notice-of-Elections-and-Instructions%5B2305843009223417429%5D%5B32329%5D.pdf	C:/My%20Web%20Sites/mlm/static1.squarespace.com/static/5a330eb8b1ffb6e54c3f0cff/t/5b83879f0e2e72fa78021938/1535346592096/L73-Notice-of-Elections-and-Instructions[2305843009223417429][32329].pdf	(from https://www.membersleadingmembers.com/)
